group,method,molecule_id,rotatable_bond_count,aligned_RMSD,delta_aligned_RMSD,bond_outlier_rate,bond_outlier_magnitude,angle_outlier_rate,angle_outlier_magnitude,ring_bond_outlier_rate,ring_planarity_outlier_rate,clash_penetration,severe_clash_rate,stereocenter_degenerate_rate,torsion_prior_outlier_score,total_thresholded_validity_score,chirality_error,mean_displacement,molecule_rms_displacement,max_displacement,coordinate_unchanged,mean_torsion_change,high_flex_torsion_change,accepted,selected_step,uncertainty,rigid_gate_mean,global_safety_gate_mean,velocity_norm_mean,torsion_gate_max,torsion_contribution_max,delta_bond_outlier_rate,delta_bond_outlier_magnitude,delta_angle_outlier_rate,delta_angle_outlier_magnitude,delta_ring_bond_outlier_rate,delta_ring_planarity_outlier_rate,delta_clash_penetration,delta_severe_clash_rate,delta_chirality_error,delta_stereocenter_degenerate_rate,delta_torsion_prior_outlier_score,delta_total_thresholded_validity_score,COV_P,COV_R,MAT_P,MAT_R,diversity
all,upstream,Brc1ccc(-c2nc3ccccc3s2)s1,1.0,0.012764465995132923,0.0,0.1304347813129425,0.34936854243278503,0.0555555559694767,0.1808733195066452,0.0,0.0,0.0,0.0,0.0,1.981933001304695,0.31855080276727676,0.0,6.151481102278922e-07,6.794886076022522e-07,1.2215317610753118e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.012764465995132923,0.7932664155960083,0.0
all,upstream,Brc1ccc(C2=CSC3=NCCN23)cc1,1.0,1.2892018556594849,0.0,0.03846153989434242,0.017373649403452873,0.04545454680919647,0.08953898400068283,0.06666667014360428,0.0,0.0,0.0,0.0,2.822460552279954,0.1773109151981771,0.0,5.019099376113445e-07,5.373395310925844e-07,8.413549608121684e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2892018556594849,1.2892018556594849,0.0
all,upstream,Brc1ccc2c(c1)[C@H]1OCC[C@H]1[C@@H](c1cccs1)N2,1.0,1.4835084676742554,0.0,0.0833333358168602,0.10540902614593506,0.015384615398943424,0.07312533259391785,0.05000000074505806,0.0,0.0,0.0,0.0,4.8283137373023015,0.1933515416458249,0.0,2.3158226269970328e-07,2.614604284190136e-07,5.462856051963172e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4835084676742554,1.951333999633789,0.0
all,upstream,Brc1cccc(-c2nnc3n2CCC3)c1,1.0,0.9318870306015015,0.0,0.18518517911434174,0.47644683718681335,0.0,0.0,0.06666667014360428,0.0,0.0,0.0,0.0,1.9955386533604735,0.37096355855464935,0.0,3.75341102198945e-07,4.170390468516416e-07,8.344650268554688e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.9318870306015015,1.5301105976104736,0.0
all,upstream,Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,4.0,0.5904262065887451,0.0,0.125,0.5301640629768372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.042707401991963,0.2575410157442093,0.0,3.8578556882384873e-07,4.4483681449491996e-07,8.920806635615008e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.043478261679410934,0.5904262065887451,2.644062042236328,0.0
all,upstream,Brc1cccc(OCCSc2ncccn2)c1,5.0,0.505279004573822,0.0,0.03448275849223137,0.152324840426445,0.021739130839705467,0.010187486186623573,0.0,0.0,0.0,0.0,0.0,2.3128465813676606,0.09684997098520398,0.0,6.888334951327124e-07,7.841451292733836e-07,1.599360416548734e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333507180214,0.505279004573822,2.2143800258636475,0.0
all,upstream,C#CCOCCOCCOCCNc1nc(N2CCOCC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H]([NH3+])CC(C)C)nn3)CC2)n1,26.0,4.58905553817749,0.0,0.6666666567325592,5.009254813194275,0.17499999701976776,0.5257394909858704,0.3478260859847069,0.0,0.0,0.0,0.0,3.586178335855782,2.57324131578207,0.0,6.586785588069688e-07,7.359076903412642e-07,1.4783412325414247e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58905553817749,4.5846781730651855,0.030546728521585464
all,upstream,C(=C_c1ccccc1)\CSc1ccccn1,4.0,0.6014194488525391,0.0,0.10000000149011612,0.22680920362472534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4835230310958223,0.15670230239629745,0.0,3.1204152151076414e-07,3.7847794942535984e-07,8.678567269271298e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666667014360428,0.6014194488525391,2.028399705886841,0.0
all,upstream,C(=C_c1nc(-c2ccncc2)no1)\c1ccccc1,3.0,1.6111369132995605,0.0,0.09375,0.1765293926000595,0.020408162847161293,0.2902813255786896,0.0,0.0,0.0,0.0,0.0,2.2481945919993964,0.23086084239184856,0.0,3.898473437402572e-07,4.34720789144194e-07,7.99680208274367e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6111369132995605,1.6792752742767334,0.0
all,upstream,C1CN(c2nc(N3CCOCC3)nc(N3CCOCC3)n2)CCO1,3.0,1.6341345310211182,0.0,0.09803921729326248,0.11133384704589844,0.0,0.0,0.0833333358168602,0.0,0.0,0.0,0.0,2.9219115720837983,0.2092060148715973,0.0,5.478037223838328e-07,5.756118639510532e-07,8.800520276963653e-07,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6341345310211182,1.9592326879501343,0.0
